AMC CODE|AMC NAME|BSE SCHEME CODE|SCHEME NAME|SCHEME ISIN|SCHEME TYPE|ASTP TRANSACTION MODE|ASTP IN MINIMUM INSTALLMENT AMOUNT|ASTP IN MAXIMUM INSTALLMENT AMOUNT|ASTP IN MULTIPLIER AMOUNT|ASTP OUT MINIMUM INSTALLMENT AMOUNT|ASTP OUT MAXIMUM INSTALLMENT AMOUNT|ASTP OUT MULTIPLIER AMOUNT|ASTP MINIMUM INSTALLMENT UNITS|ASTP MAXIMUM INSTALLMENT UNITS|ASTP MULTIPLIER UNITS|ASTP MINIMUM INSTALLMENT NUMBERS|ASTP MAXIMUM INSTALLMENT NUMBERS|ASTP Reg IN|ASTP Reg OUT|ASTP FREQUENCY|ASTP DATES|ASTP MINIMUM GAP|ASTP MAXIMUM GAP|ASTP INSTALLMENT GAP|ASTP STATUS|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPPEGR-GR|BARODA MID-CAP FUND PLAN A GROWTH|INF955L01609|EQUITY|DP|1000.00|99999999999.00|1.00|1000.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,10,15,25|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXUSDP-DR|AXIS ULTRA SHORT TERM FUND - REGULAR PLAN MONTHLY DIVIDEND REINVESTMENT|INF846K01G64|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|MONTHLY|1,7,10,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI1526-DR-W|ICICI PRUDENTIAL SAVINGS FUND - WEEKLY DIVIDEND REINVESTMENT|INF109K01753|DEBT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8700P-DP|ICICI PRUDENTIAL CONSTANT MATURITY GILT FUND - DIRECT PLAN - QUARTERLY DIVIDEND PAYOUT|INF109KA1O52|GILT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPLFIW-DR|BARODA LIQUID FUND PLAN A - WEEKLY DIVIDEND REINVESTMENT|INF955L01500|LIQUID|DP|1500.00|99999999999.00|1.00|1500.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,10,15,25|0|90|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXUSDW-DP|AXIS ULTRA SHORT TERM FUND - DIRECT PLAN WEEKLY DIVIDEND PAYOUT|INF846K01F73|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI1710P-DP-W|ICICI PRUDENTIAL SAVINGS FUND - WEEKLY DIVIDEND PAYOUT|INF109K01JO1|DEBT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8701P-DP|ICICI PRUDENTIAL CONSTANT MATURITY GILT FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109KA1O60|GILT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI2059P-DP|ICICI PRUDENTIAL BALANCED ADVANTAGE FUND - MONTHLY DIVIDEND PAYOUT|INF109K018W3|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|N|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXUSDW-DR|AXIS ULTRA SHORT TERM FUND - DIRECT PLAN WEEKLY DIVIDEND REINVESTMENT|INF846K01F65|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFXS154-DP-Q|AXIS STRATEGIC BOND FUND - QUARTERLY DIVIDEND PAYOUT|INF846K01BQ0|DEBT|DP|3000.00|999999999.00|1.00|3000.00|999999999.00|1.00|999999.00|999999.00|1.00|2|9999|Y|Y|QUARTERLY|1,7,10,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8701P-DP|ICICI PRUDENTIAL CONSTANT MATURITY GILT FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109KA1O60|GILT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SUN159P-DP|SUNDARAM CORPORATE BOND FUND REGULAR QUARTERLY DIV PAYOUT|INF903J01HY2|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|MONTHLY|1,7,14,20,25|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXUSRD-DP|AXIS ULTRA SHORT TERM FUND - REGULAR PLAN REGULAR DIVIDEND PAYOUT|INF846K01G98|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8144P-DP|ICICI PRUDENTIAL ALL SEASONS BOND FUND - DIRECT PLAN - QUARTERLY DIVIDEND PAYOUT|INF109K017E3|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTBPHDR-DR|UTI BANKING & PSU DEBT FUND REGULAR PLANHALF YEARLY DIVIDEND REINVESTMENT OPTION|INF789FA1U38|DEBT|DP|1000.00|999999.00|1.00|1000.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SUN159P-DP|SUNDARAM CORPORATE BOND FUND REGULAR QUARTERLY DIV PAYOUT|INF903J01HY2|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|WEEKLY||0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXMMDD-DR|AXIS MONEY MARKET FUND DAILY DIVIDEND REINVESTMENT|INF846K01R53|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,7,10,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8126P-DP|ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109K01T12|MIP|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTBPADR-DR|UTI BANKING & PSU FUND REGULAR PLANANNUAL DIVIDEND REINVESTMENT OPTION|INF789FA1U53|DEBT|DP|3000.00|999999.00|1.00|3000.00|999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SUN153-GR|SUNDARAM BANKING AND PSU DEBT FUND- REGULAR - GROWTH|INF903J01IN3|DEBT|DP|750.00|999999999.00|1.00|750.00|999999999.00|1.00|999999.00|999999.00|999999.00|7|9999|Y|Y|QUARTERLY|1,7,14,20,25|0|90|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXMMDD-DR|AXIS MONEY MARKET FUND DAILY DIVIDEND REINVESTMENT|INF846K01R53|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8030-GR|ICICI PRUDENTIAL MULTICAP FUND - DIRECT PLAN - GROWTH|INF109K014O9|EQUITY|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTBPFDD-DP|UTI BANKING & PSU FUND REGULAR PLANFLEXI DIVIDEND PAYOUT OPTION|INF789FA1U61|DEBT|DP|100.00|999999.00|1.00|100.00|999999.00|1.00|999999.00|999999.00|999999.00|20|9999|Y|Y|DAILY||0|60|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SUNMIQAP-DP|SUNDARAM DEBT ORIENTED HYBRID FUND REGULAR QTLY DIV PAYOUT|INF903J01HD6|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|MONTHLY|1,7,14,20,25|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXMMDG-GR|AXIS MONEY MARKET FUND DIRECT GROWTH|INF846K01Q62|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,7,10,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8030-GR|ICICI PRUDENTIAL MULTICAP FUND - DIRECT PLAN - GROWTH|INF109K014O9|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTCOFDD-DP|UTI CREDIT RISK FUND REGULAR PLANFLEXI DIVIDEND PAYOUT OPTION|INF789FA1V86|DEBT|DP|1000.00|999999.00|1.00|1000.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI2070P-DP|ICICI PRUDENTIAL SAVINGS FUND - FORTNIGHTLY DIVIDEND PAYOUT|INF109K012Z9|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXEHD1-DP|AXIS EQUITY HYBRID FUND - DIRECT PLAN REGULAR DIVIDEND PAYOUT|INF846K01E09|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8112P-DP|ICICI PRUDENTIAL CREDIT RISK FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109K01V18|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTCPFID-DP|UTI LIQUID CASH PLAN-REGULAR FLEXI DIVIDEND PLAN-DIVIDEND PAYOUT|INF789FA1J82|LIQUID|DP|3000.00|999999.00|1.00|3000.00|999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI2071-DR|ICICI PRUDENTIAL SAVINGS FUND - MONTHLY DIVIDEND REINVESTMENT|INF109K013Z7|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXEHDM-DR|AXIS EQUITY HYBRID FUND - DIRECT PLAN MONTHLY DIVIDEND REINVESTMENT|INF846K01E41|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8112P-DP|ICICI PRUDENTIAL CREDIT RISK FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109K01V18|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|453-DP|FRANKLIN INDIA DYNAMIC P E RATIO FUND OF FUNDS - DIRECT DIVIDEND PAYOUT|INF090I01HT0|FOF|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI2073-DR|ICICI PRUDENTIAL FLOATING INTEREST FUND - MONTHLY DIVIDEND REINVESTMENT|INF109KA1020|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXMMDR-DR|AXIS MONEY MARKET FUND DIRECT DAILY DIVIDEND REINVESTMENT|INF846K01Q70|DEBT|DP|3000.00|999999999.00|1.00|3000.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,7,10,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8194-GR|ICICI PRUDENTIAL EXPORTS AND SERVICES - DIRECT PLAN - GROWTH|INF109K01W25|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|453-DR|FRANKLIN INDIA DYNAMIC P E RATIO FUND OF FUNDS - DIRECT DIVIDEND REINVESTMENT|INF090I01HU8|FOF|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|DAILY||0|60|1|1|
DSP_MF|DSP MUTUAL FUND|DSP535-DP|DSP BANKING & PSU DEBT FUND - REG - QUARTERLY DIVIDEND - PAYOUT|INF740K01ZS0|DEBT|DP|500.00|999999.00|1.00|500.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXOGD1-DP|AXIS GROWTH OPPORTUNITIES FUND - DIRECT PLAN DIVIDEND PAYOUT|INF846K01J53|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8102-DR|ICICI PRUDENTIAL MONEY MARKET FUND - DIRECT PLAN - MONTHLY DIVIDEND REINVESTMENT|INF109K01R71|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|453-DR|FRANKLIN INDIA DYNAMIC P E RATIO FUND OF FUNDS - DIRECT DIVIDEND REINVESTMENT|INF090I01HU8|FOF|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
MOTILALOSWAL_MF|MOTILAL OSWAL MUTUAL FUND|MOUSRQR-DR|MOTILAL OSWAL ULTRA SHORT TERM FUND - REGULAR-QUARTERLY DIVIDEND REINVESTMENT OPTION|INF247L01312|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|N|Y|MONTHLY|1,7,14,21,28|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXOGDP-DP|AXIS GROWTH OPPORTUNITIES FUND - REGULAR PLAN DIVIDEND PAYOUT|INF846K01J87|EQUITY|DP|3000.00|999999999.00|1.00|3000.00|999999999.00|1.00|999999.00|999999.00|1.00|2|9999|Y|Y|QUARTERLY|1,7,10,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8103-DR|ICICI PRUDENTIAL MONEY MARKET FUND - DIRECT PLAN - WEEKLY DIVIDEND REINVESTMENT|INF109K01R89|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|472-DR|FRANKLIN INDIA EQUITY ADVANTAGE FUND - DIRECT DIVIDEND REINVESTMENT|INF090I01IM3|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|483-DP|FRANKLIN ASIAN EQUITY FUND - DIRECT DIVIDEND PAYOUT|INF090I01IX0|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXOGGP-GR|AXIS GROWTH OPPORTUNITIES FUND - REGULAR PLAN GROWTH|INF846K01J79|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8001P-DP|ICICI PRUDENTIAL LONG TERM EQUITY FUND (TAX SAVING) - DIRECT PLAN - DIVIDEND PAYOUT|INF109K01Y15|ELSS|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|482-GR|FRANKLIN INDIA FOCUSED EQUITY FUND - DIRECT GROWTH|INF090I01IW2|EQUITY|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|DAILY||0|60|1|1|
