AMC CODE|AMC NAME|BSE SCHEME CODE|SCHEME NAME|SCHEME ISIN|SCHEME TYPE|ASWP TRANSACTION MODE|ASWP MINIMUM INSTALLMENT AMOUNT|ASWP MAXIMUM INSTALLMENT AMOUNT|ASWP MULTIPLIER AMOUNT|ASWP MINIMUM INSTALLMENT UNITS|ASWP MAXIMUM INSTALLMENT UNITS|ASWP MULTIPLIER UNITS|ASWP MINIMUM INSTALLMENT NUMBERS|ASWP MAXIMUM INSTALLMENT NUMBERS|ASWP FREQUENCY|ASWP DATES|ASWP MINIMUM GAP|ASWP MAXIMUM GAP|ASWP INSTALLMENT GAP|ASWP STATUS|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICIINXNB-GR|ICICI PRUDENTIAL NIFTY INDEX FUND - GROWTH|INF109K01PI0|EQUITY|DP|1.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|2|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDAIRG-GR|EDELWEISS DYNAMIC BOND FUND - RETAIL PLAN - GROWTH OPTION|INF843K01344|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|12|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|0|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|BSL83FD-DP|ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND - RETAIL - QUARTERLY DIVIDEND PAYOUT|INF209K01LS6|DEBT|DP|500.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|DAILY||0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K117DP-DP|KOTAK ASSET ALLOCATOR FUND - DIVIDEND PAYOUT|INF174K01484|FOF|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|QUARTERLY|1,7,14,21,25|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFQDDB-DP|AXIS DYNAMIC BOND FUND - QUARTERLY DIVIDEND - PAYOUT|INF846K01925|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDAIRP-DP|EDELWEISS DYNAMIC BOND FUND - RETAIL PLAN - DIVIDEND PAYOUT OPTION|INF843K01351|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F013-DR-A|FRANKLIN INDIA CORPORATE DEBT FUND- PLAN A - ANNUAL DIVIDEND REINVESTMENT|INF090I01DI2|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
NipponIndiaMutualFund_MF|Nippon India MUTUAL FUND|RMFGDDP-DR|RELIANCE GOLD SAVINGS FUND - DIVIDEND REINVESTMENT OPTION|INF204K01KP5|EQUITY|DP|500.0000|999999999.0000|1.0000|1.0000|999999.0000|1.0000|1|9999|QUARTERLY|1,8,15,22|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFTARM-DP-M|AXIS TREASURY ADVANTAGE FUND - RETAIL MONTHLY DIVIDEND - PAYOUT|INF846K01511|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
NAVIMUTUALFUND_MF|NAVI MUTUAL FUND|ESMFPD-DR|ESSEL MULTI CAP FUND DIRECT PLAN NORMAL DIVIDEND REINVESTMENT|INF959L01DV5|EQUITY|DP|500.0000|999999999.0000|100.0000|50.0000|999999.0000|10.0000|6|9999|MONTHLY|5|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F062-DP-H|FRANKLIN INDIA CORPORATE DEBT FUND- PLAN B - HALF YEARLY DIVIDEND PAYOUT|INF090I01DW3|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K46G-GR|KOTAK GOLD FUND-GROWTH|INF174K01AT3|FOF|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|QUARTERLY|1,7,14,21,25|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFTARW-DP-W|AXIS TREASURY ADVANTAGE FUND - RETAIL WEEKLY DIVIDEND - PAYOUT|INF846K01495|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
NAVIMUTUALFUND_MF|NAVI MUTUAL FUND|ESMFQD-DR|ESSEL MULTI CAP FUND REGULAR PLAN QUARTERLY DIVIDEND REINVESTMENT|INF959L01EK6|EQUITY|DP|1500.0000|999999999.0000|100.0000|150.0000|999999.0000|10.0000|6|9999|QUARTERLY|5|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F065-DR-Q|FRANKLIN INDIA DEBT HYBRID FUND - PLAN A - QUARTERLY DIVIDEND REINVESTMENT|INF090I01EE9|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI02P-DP|ICICI PRUDENTIAL LONG TERM EQUITY FUND (TAX SAVING) - DIVIDEND PAYOUT|INF109K01FN1|ELSS|DP|1.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|2|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFTSDP-DP|AXIS LONG TERM EQUITY FUND DIVIDEND PAYOUT|INF846K01149|ELSS|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
NAVIMUTUALFUND_MF|NAVI MUTUAL FUND|PLMCGP-GR|ESSEL LARGE & MIDCAP FUND - REGULAR PLAN GROWTH|INF959L01CK0|EQUITY|DP|1500.0000|999999999.0000|100.0000|150.0000|999999.0000|10.0000|6|9999|QUARTERLY|5|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F224-DP|TEMPLETON INDIA EQUITY INCOME FUND-DIVIDEND PAYOUT|INF090I01932|EQUITY|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFEFDP-DR|AXIS BLUECHIP FUND - DIVIDEND REINVESTMENT|INF846K01180|EQUITY|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICIIMPG-GR|ICICI PRUDENTIAL REGULAR SAVINGS FUND - GROWTH|INF109K01902|DEBT|DP|1.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|2|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
NAVIMUTUALFUND_MF|NAVI MUTUAL FUND|ESMFDM-DR|ESSEL MULTI CAP FUND DIRECT PLAN MONTHLY DIVIDEND REINVESTMENT|INF959L01DX1|EQUITY|DP|500.0000|999999999.0000|100.0000|50.0000|999999.0000|10.0000|6|9999|MONTHLY|5|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F225-GR|TEMPLETON INDIA EQUITY INCOME FUND-GROWTH|INF090I01957|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFEFGP-GR|AXIS BLUECHIP FUND - GROWTH|INF846K01164|OVERNIGHT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|4|9999|QUARTERLY|1,5,10,15,25|0|90|0|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI53-GR|ICICI PRUDENTIAL GILT FUND - GROWTH|INF109K01JR4|DEBT|DP|1.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|2|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|FR476-DP|FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT WEEKLY DIVIDEND PAYOUT|INF090I01JX8|LIQUID|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F272-DR|FRANKLIN INDIA FOCUSED EQUITY FUND-DIVIDEND REINVESTMENT|INF090I01973|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFISQD-DP-Q|AXIS REGULAR SAVER FUND - DIVIDEND OPTION - QUARTERLY PAYOUT|INF846K01701|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|4|9999|QUARTERLY|1,5,10,15,25|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFHYDDB-DP|AXIS DYNAMIC BOND FUND - HALF YEARLY DIVIDEND - PAYOUT|INF846K01941|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,5,10,15,25|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|FR623-DR|FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-DAILY DIVIDEND REINVESTMENT|INF090I01KM9|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F386-DP|FRANKLIN BUILD INDIA FUND-DIVIDEND PAYOUT|INF090I01AC1|EQUITY|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDELENGPG-GR|EDELWEISS VALUE OPPORTUNITIES FUND - PLAN- B-GROWTH PLAN|INF754K01160|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|0|1|
SBIMUTUALFUND_MF|SBI MUTUAL FUND|SBI246G-GR|SBI GOLD FUND - GROWTH|INF200K01HA1|FOF|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|WEEKLYDATES|1,8,15,22|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|FR703-DP|FRANKLIN INDIA BANKING AND PSU DEBT FUND - DIRECT DIVIDEND PAYOUT|INF090I01KS6|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F387-GR|FRANKLIN BUILD INDIA FUND-GROWTH|INF090I01AE7|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDELENADD-DP|EDELWEISS AGGRESSIVE HYBRID FUND - DIVIDEND PAYOUT PLAN|INF754K01178|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F016-GR|FRANKLIN INDIA CORPORATE DEBT FUND- PLAN B - GROWTH|INF090I01DP7|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|FR474-GR|FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT -GROWTH|INF090I01JV2|LIQUID|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F219-GR|FRANKLIN INDIA SMALLER COMPANIES FUND-GROWTH|INF090I01569|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDELARDPR-DR|EDELWEISS BALANCED ADVANTAGE FUND -QUARTERLY DIVIDEND REIVESTMENT OPTION|INF754K01269|EQUITY|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F060-DP-M|FRANKLIN INDIA CORPORATE DEBT FUND- PLAN B - MONTHLY DIVIDEND PAYOUT|INF090I01DS1|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HD29-DR|HDFC MEDIUM TERM DEBT FUND - FORTNIGHTLY DIVIDEND REINVESTMENT|INF179K01897|DEBT|P|500.0000|999999999.0000|100.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K17-DR|KOTAK BOND SCHEME PLAN A - ANNUAL DIVIDEND REINVESTMENT|INF174K01EP3|DEBT|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|MONTHLY|1,7,14,21,25|0|60|0|1|
NipponIndiaMutualFund_MF|Nippon India MUTUAL FUND|RMFSFGP-GR|RELIANCE INDEX FUND - SENSEX PLAN - GROWTH OPTION|INF204K01IM6|EQUITY|DP|500.0000|999999999.0000|1.0000|1.0000|999999.0000|1.0000|1|9999|QUARTERLY|1,8,15,22|0|90|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F064-DP-M|FRANKLIN INDIA DEBT HYBRID FUND - PLAN A - MONTHLY DIVIDEND PAYOUT|INF090I01EB5|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HD61-DR|HDFC CAPITAL BUILDER VALUE FUND - REGULAR PLAN - DIVIDEND REINVESTMENT|INF179K01400|EQUITY|P|100.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K01-GR|KOTAK BANKING AND PSU FUND - GROWTH|INF174K01FO3|DEBT|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|WEEKLYDATES|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HDFCMTOG-GR|HDFC CORPORATE BOND FUND - GROWTH OPTION|INF179K01DC2|DEBT|DP|100.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F054-DP-M|FRANKLIN INDIA DEBT HYBRID FUND - PLAN B - MONTHLY DIVIDEND PAYOUT|INF090I01EI0|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HDCDNDR-DR|HDFC CREDIT RISK DEBT FUND - REGULAR PLAN - NORMAL DIVIDEND REINVESTMENT|INF179KA1I87|DEBT|P|100.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K153DP-DP|KOTAK GLOBAL EMERGING MARKET FUND DIVIDEND PAYOUT|INF174K01DX9|EQUITY|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|QUARTERLY|1,7,14,21,25|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K03DP-DP|KOTAK BLUECHIP FUND - DIVIDEND PAYOUT|INF174K01179|EQUITY|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|MONTHLY|1,7,14,21,25|0|60|0|1|
FRANKLINTEMPLETON|FRANKLIN TEMPLETON MUTUAL FUND|F054-DP-M|FRANKLIN INDIA DEBT HYBRID FUND - PLAN B - MONTHLY DIVIDEND PAYOUT|INF090I01EI0|DEBT|P|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|1|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HDMCOD-DR|HDFC MID-CAP OPPORTUNITIES FUND - DIVIDEND REINVESTMENT OPTION|INF179K01CS0|EQUITY|P|500.0000|999999999.0000|100.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K123-GR|KOTAK EMERGING EQUITY SCHEME GROWTH|INF174K01DS9|EQUITY|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|WEEKLYDAYS|MON,TUE,WED,THU,FRI|0|60|0|1|
