Sr. No.,Field Name,Data Type,Field Length,Remarks,Mandatory,Condition,
146,Nominee 2 Guardian,Char ,35,,Optional,,
147,Nominee 2 Guardian PAN,Varchar,10,Optional,Optional,,
148,NOM2_ID_TYP,Char ,1,Nominee2 Identity Type,Conditional Mandatory,"Mandatory if Nominee2 Opted and values should be in numeric
1- PAN
2- Adhaar
3- Driving licence
4-Passport Number",
149,NOM2_IDNO,varchar,,Nominee 2 ID number,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt flag is Y and NOM2_ID_TY is selected as 1 (PAN Length 10 digit Alpha-numeric), 2 (Adhaar number, last 4 digits only, Length 4digit), 3(Driving licence number- Length max 20 digit), 4(Passport No. -Length max 9 varchar) ",
150,NOM2_EMAIL,Char ,120,Nominee2 Email,Conditional Mandatory,"
Mandatory if Nominee2 Opted (Valid email for respective nominee)",
151,NOM2_MOB,Char ,15,Nominee2 Mobile,Conditional Mandatory,"
Mandatory if Nominee2 name provided (Valid mobile number for respective nominee)",
152,NOM2_ADD1,Char ,40,Nominee2 Address1,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt2
If the address of Nominee as that of FH, specify as Same address of First Holder",
153,NOM2_ADD2,Char ,40,Nominee2 Address2,Optional,,
154,NOM2_ADD3,Char ,40,Nominee2 Address3,Optional,,
155,NOM2_CITY,Char ,35,Nominee2 city,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt2
",
156,NOM2_PIN,Char ,15,Nominee2 pin,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt2
",
157,NOM2_CON,Char ,35,Nominee2 country,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt2
",
158,Nominee 3 Name,Char ,40,,Conditional Mandatory, If total percentage of nom 1 and 2 is less than 100%,
159,Nominee 3 Relationship,Char ,2,"01 - AUNT
02 - BROTHER-IN-LAW
03 - BROTHER
04 - DAUGHTER
05 - DAUGHTER-IN-LAW
06 - FATHER
07 - FATHER-IN-LAW
08 - GRAND DAUGHTER
09 - GRAND FATHER
10 - GRAND MOTHER
11 - GRAND SON
12 - MOTHER-IN-LAW
13 - MOTHER
14 - NEPHEW
15 - NIECE
16 - SISTER
17 - SISTER-IN-LAW
18 - SON
19 - SON-IN-LAW
20 - SPOUSE
21 - UNCLE
22 - OTHERS
23 - COURT APPOINTED LEGAL GUARDIAN",Conditional Mandatory,Mandatory if Nominee 3 available,
160,Nominee 3 Applicable(%),Numeric ,"5,2",,Conditional Mandatory,Mandatory if Nominee 3 available,
161,Nominee3 Minor Flag,Varchar,1,,Conditional Mandatory,Mandatory if Nominee 3 available,
162,Nominee 3 DOB,Date,,DD/MM/YYYY,Conditional Mandatory,Mandatory if Nominee 3 available,
163,Nominee3 Guardian,Char ,35,,Optional,,
164,Nominee 3 Guardian PAN,Varchar,10,Optional,Optional,,
165,NOM3_ID_TYP,Char ,1,Nominee3 Identity Type,Conditional Mandatory,"Mandatory if Nominee3 Opted and values should be in numeric
1- PAN
2- Adhaar
3- Driving licence
4-Passport Number",
166,NOM3_IDNO,varchar,,Nominee 3 ID number,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt flag is Y and NOM3_ID_TY is selected as 1 (PAN Length 10 digit Alpha-numeric), 2 (Adhaar number, last 4 digits only, Length 4digit), 3(Driving licence number- Length max 20 digit), 4(Passport No. -Length max 9 varchar) ",
167,NOM3_EMAIL,Char ,120,Nominee3 Email,Conditional Mandatory,"
Mandatory if Nominee Opted (Valid email for respective nominee)",
168,NOM3_MOB,Char ,15,Nominee3 Mobile,Conditional Mandatory,"
Mandatory if Nominee3 name provided (Valid mobile number for respective nominee)",
169,NOM3_ADD1,Char ,40,Nominee3 Address1,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt3
If the address of Nominee as that of FH, specify as Same address of First Holder",
170,NOM3_ADD2,Char ,40,Nominee3 Address2,Optional,,
171,NOM3_ADD3,Char ,40,Nominee3 Address3,Optional,,
172,NOM3_CITY,Char ,35,Nominee3 city,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt3
",
173,NOM3_PIN,Char ,15,Nominee3 pin,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt3
",
174,NOM3_CON,Char ,35,Nominee3 country,Conditional Mandatory,"For new folio creation
Mandatory if nominee opt3
",
175,NOM_SOA,Char ,1,Nominee names/Registration Status in SOA,Mandatory,"
Mandatory if Nominee Opt flag is ""Y""
Nominee registration display in SOA status should be Y/N, if it is N, then  only the registration status should be display and if it is ""Y"", then the name of all the nominees will be displayed",
176,Filler1,,,,,,
177,Filler2,,,,,,
178,Filler3,,,,,,
179,Filler4,,,,,,
180,Filler5,,,,,,
181,Filler6,,,,,,
182,Filler7,,,,,,
183,Filler8,,,,,,
